Country,Bachelor Program,Year,Semester,Subject,Unit Name,Topic,Subtopic,Learning Outcome
,,2,3,Digital Service Management,Digital Communication in Service Organizations,Digital communication channels and stakeholder engagement,Use of channels in self-service and task automation to improve satisfaction,Recognize the role of digital communication in enhancing customer/employee experience
,,2,3,Digital Service Management,Digital Communication in Service Organizations,Digital communication channels and stakeholder engagement,Use of channels in self-service and task automation to improve satisfaction,Apply tools and channels to business growth and service innovation
,,2,4,Technology Management,Technology Management,Management accounting and entrepreneurship,Theories and methods of management accounting,"Comprehensive conceptual toolbox for management accounting, investments, financial accounting, budgeting & control"
,,2,4,Technology Management,Technology Management,Management accounting and entrepreneurship,Theories and methods of management accounting,Understanding origins of these theories
,,2,4,Technology Management,Technology Management,Management accounting and entrepreneurship,Theories and methods of management accounting,Apply theories and methods to solve and analyze relevant business problems
,,2,4,Technology Management,Technology Management,Management accounting and entrepreneurship,Theories and methods of management accounting,Acquire and integrate current knowledge in these areas
,,2,4,Technology Management,Technology Management,Management accounting and entrepreneurship,"Integration with entrepreneurship, ethics, scientific theory","Comprehensive conceptual toolbox for management accounting, investments, financial accounting, budgeting & control"
,,2,4,Technology Management,Technology Management,Management accounting and entrepreneurship,"Integration with entrepreneurship, ethics, scientific theory",Understanding origins of these theories
,,2,4,Technology Management,Technology Management,Management accounting and entrepreneurship,"Integration with entrepreneurship, ethics, scientific theory",Apply theories and methods to solve and analyze relevant business problems
,,2,4,Technology Management,Technology Management,Management accounting and entrepreneurship,"Integration with entrepreneurship, ethics, scientific theory",Acquire and integrate current knowledge in these areas
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,Foundations of digital research in business contexts,"Understand the history, theory, and terminology of digital research and Big Data"
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,Foundations of digital research in business contexts,Recognize strategies for analyzing large qualitative and quantitative datasets
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,Foundations of digital research in business contexts,Aware of ethical issues in Big Data business applications
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,Foundations of digital research in business contexts,Design and execute digital research projects
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,Foundations of digital research in business contexts,"Analyze and interpret digital datasets, report findings"
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,Foundations of digital research in business contexts,Use machine learning methods to derive business insights
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,Foundations of digital research in business contexts,Formulate research problems suited to digital methods
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,Foundations of digital research in business contexts,"Plan and manage digital research projects ethically, individually or in groups"
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,Foundations of digital research in business contexts,Engage with professionals to develop good practice
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,Foundations of digital research in business contexts,Support innovative business thinking using data-driven methods
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,Qualitative & quantitative digital data collection approaches,"Understand the history, theory, and terminology of digital research and Big Data"
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,Qualitative & quantitative digital data collection approaches,Recognize strategies for analyzing large qualitative and quantitative datasets
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,Qualitative & quantitative digital data collection approaches,Aware of ethical issues in Big Data business applications
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,Qualitative & quantitative digital data collection approaches,Design and execute digital research projects
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,Qualitative & quantitative digital data collection approaches,"Analyze and interpret digital datasets, report findings"
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,Qualitative & quantitative digital data collection approaches,Use machine learning methods to derive business insights
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,Qualitative & quantitative digital data collection approaches,Formulate research problems suited to digital methods
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,Qualitative & quantitative digital data collection approaches,"Plan and manage digital research projects ethically, individually or in groups"
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,Qualitative & quantitative digital data collection approaches,Engage with professionals to develop good practice
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,Qualitative & quantitative digital data collection approaches,Support innovative business thinking using data-driven methods
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,"Methods for analyzing Big Data (e.g., decision trees, content analysis)","Understand the history, theory, and terminology of digital research and Big Data"
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,"Methods for analyzing Big Data (e.g., decision trees, content analysis)",Recognize strategies for analyzing large qualitative and quantitative datasets
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,"Methods for analyzing Big Data (e.g., decision trees, content analysis)",Aware of ethical issues in Big Data business applications
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,"Methods for analyzing Big Data (e.g., decision trees, content analysis)",Design and execute digital research projects
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,"Methods for analyzing Big Data (e.g., decision trees, content analysis)","Analyze and interpret digital datasets, report findings"
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,"Methods for analyzing Big Data (e.g., decision trees, content analysis)",Use machine learning methods to derive business insights
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,"Methods for analyzing Big Data (e.g., decision trees, content analysis)",Formulate research problems suited to digital methods
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,"Methods for analyzing Big Data (e.g., decision trees, content analysis)","Plan and manage digital research projects ethically, individually or in groups"
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,"Methods for analyzing Big Data (e.g., decision trees, content analysis)",Engage with professionals to develop good practice
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,"Methods for analyzing Big Data (e.g., decision trees, content analysis)",Support innovative business thinking using data-driven methods
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,"Ethical, philosophical, and methodological considerations of digital research","Understand the history, theory, and terminology of digital research and Big Data"
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,"Ethical, philosophical, and methodological considerations of digital research",Recognize strategies for analyzing large qualitative and quantitative datasets
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,"Ethical, philosophical, and methodological considerations of digital research",Aware of ethical issues in Big Data business applications
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,"Ethical, philosophical, and methodological considerations of digital research",Design and execute digital research projects
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,"Ethical, philosophical, and methodological considerations of digital research","Analyze and interpret digital datasets, report findings"
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,"Ethical, philosophical, and methodological considerations of digital research",Use machine learning methods to derive business insights
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,"Ethical, philosophical, and methodological considerations of digital research",Formulate research problems suited to digital methods
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,"Ethical, philosophical, and methodological considerations of digital research","Plan and manage digital research projects ethically, individually or in groups"
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,"Ethical, philosophical, and methodological considerations of digital research",Engage with professionals to develop good practice
,,3,5,Digital Service Management,Digital Research Methods & Big Data Analytics,Digital research and Big Data in business contexts,"Ethical, philosophical, and methodological considerations of digital research",Support innovative business thinking using data-driven methods
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Models and patterns for data-driven business models,Understand key components and patterns in data-driven models
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Models and patterns for data-driven business models,Recognize challenges in designing decision systems and managing incremental change
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Models and patterns for data-driven business models,Aware of stakeholder engagement and impact in adaptive systems
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Models and patterns for data-driven business models,"Visualize, analyze, and develop data-informed business models"
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Models and patterns for data-driven business models,Identify and categorize feedback from digital operations
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Models and patterns for data-driven business models,Ensure data quality and support reliable decision-making
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Models and patterns for data-driven business models,"Recommend adaptive decision models, evaluating strengths and weaknesses"
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Models and patterns for data-driven business models,Address stakeholder conditions for implementing adaptive systems
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Models and patterns for data-driven business models,Assess digitalization impacts from stakeholder perspectives
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Models and patterns for data-driven business models,Understand how digital technologies influence business value creation
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Models and patterns for data-driven business models,Communicate complex digital strategy to diverse audiences
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Models and patterns for data-driven business models,Reflect on ethical considerations in data-driven decision modeling
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Models and patterns for data-driven business models,Apply course concepts to new transformation contexts
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Models and patterns for data-driven business models,Participate in research-based discourse on digital business environments
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Methods to design and develop such models,Understand key components and patterns in data-driven models
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Methods to design and develop such models,Recognize challenges in designing decision systems and managing incremental change
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Methods to design and develop such models,Aware of stakeholder engagement and impact in adaptive systems
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Methods to design and develop such models,"Visualize, analyze, and develop data-informed business models"
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Methods to design and develop such models,Identify and categorize feedback from digital operations
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Methods to design and develop such models,Ensure data quality and support reliable decision-making
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Methods to design and develop such models,"Recommend adaptive decision models, evaluating strengths and weaknesses"
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Methods to design and develop such models,Address stakeholder conditions for implementing adaptive systems
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Methods to design and develop such models,Assess digitalization impacts from stakeholder perspectives
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Methods to design and develop such models,Understand how digital technologies influence business value creation
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Methods to design and develop such models,Communicate complex digital strategy to diverse audiences
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Methods to design and develop such models,Reflect on ethical considerations in data-driven decision modeling
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Methods to design and develop such models,Apply course concepts to new transformation contexts
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Methods to design and develop such models,Participate in research-based discourse on digital business environments
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Strategies for innovation and adaptation in digital business,Understand key components and patterns in data-driven models
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Strategies for innovation and adaptation in digital business,Recognize challenges in designing decision systems and managing incremental change
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Strategies for innovation and adaptation in digital business,Aware of stakeholder engagement and impact in adaptive systems
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Strategies for innovation and adaptation in digital business,"Visualize, analyze, and develop data-informed business models"
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Strategies for innovation and adaptation in digital business,Identify and categorize feedback from digital operations
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Strategies for innovation and adaptation in digital business,Ensure data quality and support reliable decision-making
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Strategies for innovation and adaptation in digital business,"Recommend adaptive decision models, evaluating strengths and weaknesses"
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Strategies for innovation and adaptation in digital business,Address stakeholder conditions for implementing adaptive systems
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Strategies for innovation and adaptation in digital business,Assess digitalization impacts from stakeholder perspectives
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Strategies for innovation and adaptation in digital business,Understand how digital technologies influence business value creation
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Strategies for innovation and adaptation in digital business,Communicate complex digital strategy to diverse audiences
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Strategies for innovation and adaptation in digital business,Reflect on ethical considerations in data-driven decision modeling
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Strategies for innovation and adaptation in digital business,Apply course concepts to new transformation contexts
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Strategies for innovation and adaptation in digital business,Participate in research-based discourse on digital business environments
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,"Analysis and categorization of data streams (quality, costs, customer behavior)",Understand key components and patterns in data-driven models
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,"Analysis and categorization of data streams (quality, costs, customer behavior)",Recognize challenges in designing decision systems and managing incremental change
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,"Analysis and categorization of data streams (quality, costs, customer behavior)",Aware of stakeholder engagement and impact in adaptive systems
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,"Analysis and categorization of data streams (quality, costs, customer behavior)","Visualize, analyze, and develop data-informed business models"
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,"Analysis and categorization of data streams (quality, costs, customer behavior)",Identify and categorize feedback from digital operations
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,"Analysis and categorization of data streams (quality, costs, customer behavior)",Ensure data quality and support reliable decision-making
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,"Analysis and categorization of data streams (quality, costs, customer behavior)","Recommend adaptive decision models, evaluating strengths and weaknesses"
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,"Analysis and categorization of data streams (quality, costs, customer behavior)",Address stakeholder conditions for implementing adaptive systems
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,"Analysis and categorization of data streams (quality, costs, customer behavior)",Assess digitalization impacts from stakeholder perspectives
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,"Analysis and categorization of data streams (quality, costs, customer behavior)",Understand how digital technologies influence business value creation
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,"Analysis and categorization of data streams (quality, costs, customer behavior)",Communicate complex digital strategy to diverse audiences
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,"Analysis and categorization of data streams (quality, costs, customer behavior)",Reflect on ethical considerations in data-driven decision modeling
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,"Analysis and categorization of data streams (quality, costs, customer behavior)",Apply course concepts to new transformation contexts
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,"Analysis and categorization of data streams (quality, costs, customer behavior)",Participate in research-based discourse on digital business environments
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Integration of decision models into business operations,Understand key components and patterns in data-driven models
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Integration of decision models into business operations,Recognize challenges in designing decision systems and managing incremental change
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Integration of decision models into business operations,Aware of stakeholder engagement and impact in adaptive systems
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Integration of decision models into business operations,"Visualize, analyze, and develop data-informed business models"
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Integration of decision models into business operations,Identify and categorize feedback from digital operations
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Integration of decision models into business operations,Ensure data quality and support reliable decision-making
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Integration of decision models into business operations,"Recommend adaptive decision models, evaluating strengths and weaknesses"
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Integration of decision models into business operations,Address stakeholder conditions for implementing adaptive systems
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Integration of decision models into business operations,Assess digitalization impacts from stakeholder perspectives
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Integration of decision models into business operations,Understand how digital technologies influence business value creation
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Integration of decision models into business operations,Communicate complex digital strategy to diverse audiences
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Integration of decision models into business operations,Reflect on ethical considerations in data-driven decision modeling
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Integration of decision models into business operations,Apply course concepts to new transformation contexts
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Integration of decision models into business operations,Participate in research-based discourse on digital business environments
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Design of adaptive management systems for continuous improvement,Understand key components and patterns in data-driven models
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Design of adaptive management systems for continuous improvement,Recognize challenges in designing decision systems and managing incremental change
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Design of adaptive management systems for continuous improvement,Aware of stakeholder engagement and impact in adaptive systems
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Design of adaptive management systems for continuous improvement,"Visualize, analyze, and develop data-informed business models"
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Design of adaptive management systems for continuous improvement,Identify and categorize feedback from digital operations
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Design of adaptive management systems for continuous improvement,Ensure data quality and support reliable decision-making
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Design of adaptive management systems for continuous improvement,"Recommend adaptive decision models, evaluating strengths and weaknesses"
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Design of adaptive management systems for continuous improvement,Address stakeholder conditions for implementing adaptive systems
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Design of adaptive management systems for continuous improvement,Assess digitalization impacts from stakeholder perspectives
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Design of adaptive management systems for continuous improvement,Understand how digital technologies influence business value creation
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Design of adaptive management systems for continuous improvement,Communicate complex digital strategy to diverse audiences
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Design of adaptive management systems for continuous improvement,Reflect on ethical considerations in data-driven decision modeling
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Design of adaptive management systems for continuous improvement,Apply course concepts to new transformation contexts
,,3,6,Digital Service Management,Data-Driven Business Model Development,Data-driven business models and adaptive systems,Design of adaptive management systems for continuous improvement,Participate in research-based discourse on digital business environments
,,3,6,Internship,Work Placement / Internship,Practical experience in digital transformation,"16-week placement in organizations (e.g., Stavanger Smart City, municipalities, private sector)",Gain practical understanding of organizational digital transformation challenges
,,3,6,Internship,Work Placement / Internship,Practical experience in digital transformation,"16-week placement in organizations (e.g., Stavanger Smart City, municipalities, private sector)",Develop and analyze a real-world digital project through a reflective report
,,3,6,Internship,Work Placement / Internship,Practical experience in digital transformation,"Regular workshops to discuss digital challenges, processes, projects",Gain practical understanding of organizational digital transformation challenges
,,3,6,Internship,Work Placement / Internship,Practical experience in digital transformation,"Regular workshops to discuss digital challenges, processes, projects",Develop and analyze a real-world digital project through a reflective report
,Economics and Administration,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Supply & demand,Understand consumer/producer models
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Supply & demand,Understand market structures
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Supply & demand,Understand public goods/externalities
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Supply & demand,Understand behavioral vs standard models
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Supply & demand,Understand trade and labor markets
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Supply & demand,Apply supply-demand analysis
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Supply & demand,Perform marginal analysis
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Supply & demand,Classify costs
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Supply & demand,Analyze market structures
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Supply & demand,Identify public goods/externalities
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Supply & demand,Perform basic fundamental market analysis
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Supply & demand,Communicate findings effectively
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Production factor use,Understand consumer/producer models
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Production factor use,Understand market structures
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Production factor use,Understand public goods/externalities
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Production factor use,Understand behavioral vs standard models
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Production factor use,Understand trade and labor markets
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Production factor use,Apply supply-demand analysis
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Production factor use,Perform marginal analysis
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Production factor use,Classify costs
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Production factor use,Analyze market structures
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Production factor use,Identify public goods/externalities
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Production factor use,Perform basic fundamental market analysis
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Production factor use,Communicate findings effectively
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Price changes and market effects,Understand consumer/producer models
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Price changes and market effects,Understand market structures
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Price changes and market effects,Understand public goods/externalities
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Price changes and market effects,Understand behavioral vs standard models
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Price changes and market effects,Understand trade and labor markets
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Price changes and market effects,Apply supply-demand analysis
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Price changes and market effects,Perform marginal analysis
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Price changes and market effects,Classify costs
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Price changes and market effects,Analyze market structures
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Price changes and market effects,Identify public goods/externalities
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Price changes and market effects,Perform basic fundamental market analysis
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Price changes and market effects,Communicate findings effectively
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Market structure & competition,Understand consumer/producer models
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Market structure & competition,Understand market structures
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Market structure & competition,Understand public goods/externalities
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Market structure & competition,Understand behavioral vs standard models
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Market structure & competition,Understand trade and labor markets
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Market structure & competition,Apply supply-demand analysis
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Market structure & competition,Perform marginal analysis
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Market structure & competition,Classify costs
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Market structure & competition,Analyze market structures
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Market structure & competition,Identify public goods/externalities
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Market structure & competition,Perform basic fundamental market analysis
,,1,1,Economics,Økonomi og marked (Microeconomics),Microeconomic theory and market analysis,Market structure & competition,Communicate findings effectively
